Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes
"Tue, Oct 27, 2015",8:00p,Cleveland Cavaliers,95,Chicago Bulls,97,Box Score,,21957,2:22,United Center,
"Tue, Oct 27, 2015",8:00p,Detroit Pistons,106,Atlanta Hawks,94,Box Score,,19187,2:10,Philips Arena,
"Tue, Oct 27, 2015",10:30p,New Orleans Pelicans,95,Golden State Warriors,111,Box Score,,19596,2:24,Oracle Arena,
"Wed, Oct 28, 2015",7:00p,Washington Wizards,88,Orlando Magic,87,Box Score,,18846,2:21,Amway Center,
"Wed, Oct 28, 2015",7:30p,Philadelphia 76ers,95,Boston Celtics,112,Box Score,,18624,2:13,TD Garden,
"Wed, Oct 28, 2015",7:30p,Chicago Bulls,115,Brooklyn Nets,100,Box Score,,17732,2:12,Barclays Center,
"Wed, Oct 28, 2015",7:30p,Utah Jazz,87,Detroit Pistons,92,Box Score,,18434,2:18,The Palace of Auburn Hills,
"Wed, Oct 28, 2015",7:30p,Indiana Pacers,99,Toronto Raptors,106,Box Score,,19800,2:34,Air Canada Centre,
"Wed, Oct 28, 2015",7:30p,Charlotte Hornets,94,Miami Heat,104,Box Score,,19724,2:19,AmericanAirlines Arena,
"Wed, Oct 28, 2015",8:00p,New York Knicks,122,Milwaukee Bucks,97,Box Score,,18717,2:20,BMO Harris Bradley Center,
"Wed, Oct 28, 2015",8:00p,San Antonio Spurs,106,Oklahoma City Thunder,112,Box Score,,18203,2:19,Chesapeake Energy Arena,
"Wed, Oct 28, 2015",8:00p,Cleveland Cavaliers,106,Memphis Grizzlies,76,Box Score,,18119,2:07,FedEx Forum,
"Wed, Oct 28, 2015",8:00p,Denver Nuggets,105,Houston Rockets,85,Box Score,,18240,2:12,Toyota Center,
"Wed, Oct 28, 2015",10:00p,Dallas Mavericks,111,Phoenix Suns,95,Box Score,,18055,2:21,Talking Stick Resort Arena,
"Wed, Oct 28, 2015",10:00p,New Orleans Pelicans,94,Portland Trail Blazers,112,Box Score,,19393,2:06,Moda Center,
"Wed, Oct 28, 2015",10:00p,Los Angeles Clippers,111,Sacramento Kings,104,Box Score,,17458,2:19,Sleep Train Arena,
"Wed, Oct 28, 2015",10:30p,Minnesota Timberwolves,112,Los Angeles Lakers,111,Box Score,,18997,2:35,STAPLES Center,
"Thu, Oct 29, 2015",7:00p,Memphis Grizzlies,112,Indiana Pacers,103,Box Score,,18165,2:18,Bankers Life Fieldhouse,
"Thu, Oct 29, 2015",8:00p,Atlanta Hawks,112,New York Knicks,101,Box Score,,19812,2:21,Madison Square Garden (IV),
