Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes
"Tue, Oct 28, 2014",8:00p,Orlando Magic,84,New Orleans Pelicans,101,Box Score,,17097,2:12,Smoothie King Center,
"Tue, Oct 28, 2014",8:00p,Dallas Mavericks,100,San Antonio Spurs,101,Box Score,,19615,2:20,AT&T Center,
"Tue, Oct 28, 2014",10:30p,Houston Rockets,108,Los Angeles Lakers,90,Box Score,,18997,2:46,STAPLES Center,
"Wed, Oct 29, 2014",7:00p,Milwaukee Bucks,106,Charlotte Hornets,108,Box Score,OT,19439,2:34,Time Warner Cable Arena,
"Wed, Oct 29, 2014",7:00p,Philadelphia 76ers,91,Indiana Pacers,103,Box Score,,18165,2:24,Bankers Life Fieldhouse,
"Wed, Oct 29, 2014",7:30p,Atlanta Hawks,102,Toronto Raptors,109,Box Score,,19800,2:24,Air Canada Centre,
"Wed, Oct 29, 2014",7:30p,Washington Wizards,95,Miami Heat,107,Box Score,,19744,2:14,AmericanAirlines Arena,
"Wed, Oct 29, 2014",7:30p,Brooklyn Nets,105,Boston Celtics,121,Box Score,,18624,2:13,TD Garden,
"Wed, Oct 29, 2014",8:00p,Chicago Bulls,104,New York Knicks,80,Box Score,,19812,2:12,Madison Square Garden (IV),
"Wed, Oct 29, 2014",8:00p,Minnesota Timberwolves,101,Memphis Grizzlies,105,Box Score,,17731,2:16,FedEx Forum,
"Wed, Oct 29, 2014",9:00p,Detroit Pistons,79,Denver Nuggets,89,Box Score,,17136,2:20,Pepsi Center,
"Wed, Oct 29, 2014",9:00p,Houston Rockets,104,Utah Jazz,93,Box Score,,19911,2:03,EnergySolutions Arena,
"Wed, Oct 29, 2014",10:00p,Los Angeles Lakers,99,Phoenix Suns,119,Box Score,,17523,2:10,US Airways Center,
"Wed, Oct 29, 2014",10:00p,Golden State Warriors,95,Sacramento Kings,77,Box Score,,17317,2:27,Sleep Train Arena,
"Wed, Oct 29, 2014",10:30p,Oklahoma City Thunder,89,Portland Trail Blazers,106,Box Score,,19441,2:21,Moda Center,
"Thu, Oct 30, 2014",7:00p,Washington Wizards,105,Orlando Magic,98,Box Score,,18846,2:21,Amway Center,
"Thu, Oct 30, 2014",8:00p,New York Knicks,95,Cleveland Cavaliers,90,Box Score,,20562,2:29,Quicken Loans Arena,
"Thu, Oct 30, 2014",8:00p,Detroit Pistons,91,Minnesota Timberwolves,97,Box Score,,18296,2:11,Target Center,
"Thu, Oct 30, 2014",8:30p,Utah Jazz,102,Dallas Mavericks,120,Box Score,,19697,2:06,American Airlines Center,
"Thu, Oct 30, 2014",10:30p,Oklahoma City Thunder,90,Los Angeles Clippers,93,Box Score,,19060,2:47,STAPLES Center,
"Fri, Oct 31, 2014",7:00p,Memphis Grizzlies,97,Indiana Pacers,89,Box Score,,14441,2:13,Bankers Life Fieldhouse,
"Fri, Oct 31, 2014",8:00p,Cleveland Cavaliers,114,Chicago Bulls,108,Box Score,OT,22879,2:43,United Center,
"Fri, Oct 31, 2014",8:30p,Philadelphia 76ers,81,Milwaukee Bucks,93,Box Score,,18717,2:14,BMO Harris Bradley Center,
"Fri, Oct 31, 2014",10:00p,San Antonio Spurs,89,Phoenix Suns,94,Box Score,,15050,2:17,US Airways Center,
"Fri, Oct 31, 2014",10:00p,Portland Trail Blazers,94,Sacramento Kings,103,Box Score,,14648,2:26,Sleep Train Arena,
"Fri, Oct 31, 2014",10:30p,Los Angeles Clippers,118,Los Angeles Lakers,111,Box Score,,18997,2:33,STAPLES Center,
"Sat, Nov 1, 2014",7:00p,Memphis Grizzlies,71,Charlotte Hornets,69,Box Score,,18133,2:19,Time Warner Cable Arena,
"Sat, Nov 1, 2014",7:00p,Dallas Mavericks,109,New Orleans Pelicans,104,Box Score,,14547,2:13,Smoothie King Center,
"Sat, Nov 1, 2014",7:00p,Toronto Raptors,108,Orlando Magic,95,Box Score,,16141,2:20,Amway Center,
"Sat, Nov 1, 2014",7:00p,Miami Heat,114,Philadelphia 76ers,96,Box Score,,19753,2:23,Wells Fargo Center,
"Sat, Nov 1, 2014",7:00p,Milwaukee Bucks,97,Washington Wizards,108,Box Score,,17992,2:21,Verizon Center,
"Sat, Nov 1, 2014",7:30p,Indiana Pacers,92,Atlanta Hawks,102,Box Score,,19118,2:14,Philips Arena,
