Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes
"Thu, Nov 7, 2019",9:00p,Miami Heat,124,Phoenix Suns,108,Box Score,,15498.0,2:15,Talking Stick Resort Arena,
"Thu, Nov 7, 2019",10:30p,Portland Trail Blazers,101,Los Angeles Clippers,107,Box Score,,19068.0,2:21,STAPLES Center,
"Fri, Nov 8, 2019",7:00p,Detroit Pistons,106,Indiana Pacers,112,Box Score,,15544.0,2:15,Bankers Life Fieldhouse,
"Fri, Nov 8, 2019",7:00p,Memphis Grizzlies,86,Orlando Magic,118,Box Score,,17021.0,2:07,Amway Center,
"Fri, Nov 8, 2019",7:00p,Cleveland Cavaliers,113,Washington Wizards,100,Box Score,,16946.0,2:13,Capital One Arena,
"Fri, Nov 8, 2019",7:30p,Sacramento Kings,121,Atlanta Hawks,109,Box Score,,16447.0,2:06,State Farm Arena,
"Fri, Nov 8, 2019",8:00p,Golden State Warriors,119,Minnesota Timberwolves,125,Box Score,OT,15647.0,2:41,Target Center,
"Fri, Nov 8, 2019",8:00p,Toronto Raptors,122,New Orleans Pelicans,104,Box Score,,16337.0,2:12,Smoothie King Center,
"Fri, Nov 8, 2019",8:30p,New York Knicks,106,Dallas Mavericks,102,Box Score,,20257.0,2:17,American Airlines Center,
"Fri, Nov 8, 2019",9:00p,Philadelphia 76ers,97,Denver Nuggets,100,Box Score,,19520.0,2:12,Pepsi Center,
"Fri, Nov 8, 2019",9:00p,Milwaukee Bucks,100,Utah Jazz,103,Box Score,,18306.0,2:33,Vivint Smart Home Arena,
"Fri, Nov 8, 2019",10:00p,Brooklyn Nets,119,Portland Trail Blazers,115,Box Score,,20089.0,2:19,Moda Center,
"Fri, Nov 8, 2019",10:30p,Miami Heat,80,Los Angeles Lakers,95,Box Score,,18997.0,2:14,STAPLES Center,
"Sat, Nov 9, 2019",5:00p,Boston Celtics,135,San Antonio Spurs,115,Box Score,,18354.0,2:19,AT&T Center,
"Sat, Nov 9, 2019",7:00p,New Orleans Pelicans,115,Charlotte Hornets,110,Box Score,,18513.0,2:22,Spectrum Center,
"Sat, Nov 9, 2019",8:00p,Houston Rockets,117,Chicago Bulls,94,Box Score,,20482.0,2:10,United Center,
"Sat, Nov 9, 2019",8:00p,Dallas Mavericks,138,Memphis Grizzlies,122,Box Score,,15753.0,2:05,FedEx Forum,
"Sat, Nov 9, 2019",8:00p,Golden State Warriors,108,Oklahoma City Thunder,114,Box Score,,18203.0,2:09,Chesapeake Energy Arena,
"Sun, Nov 10, 2019",3:30p,Denver Nuggets,100,Minnesota Timberwolves,98,Box Score,OT,13553.0,2:36,Target Center,
"Sun, Nov 10, 2019",6:00p,Indiana Pacers,109,Orlando Magic,102,Box Score,,17118.0,1:55,Amway Center,
"Sun, Nov 10, 2019",6:00p,Charlotte Hornets,106,Philadelphia 76ers,114,Box Score,,20311.0,2:07,Wells Fargo Center,
"Sun, Nov 10, 2019",7:00p,Milwaukee Bucks,121,Oklahoma City Thunder,119,Box Score,,18203.0,2:15,Chesapeake Energy Arena,
"Sun, Nov 10, 2019",7:30p,Cleveland Cavaliers,108,New York Knicks,87,Box Score,,19812.0,2:12,Madison Square Garden (IV),
"Sun, Nov 10, 2019",8:00p,Brooklyn Nets,112,Phoenix Suns,138,Box Score,,17290.0,2:05,Talking Stick Resort Arena,
"Sun, Nov 10, 2019",9:00p,Atlanta Hawks,113,Portland Trail Blazers,124,Box Score,OT,20041.0,2:35,Moda Center,
"Sun, Nov 10, 2019",9:30p,Toronto Raptors,113,Los Angeles Lakers,104,Box Score,,18997.0,2:19,STAPLES Center,
"Mon, Nov 11, 2019",7:00p,Minnesota Timberwolves,120,Detroit Pistons,114,Box Score,,12526.0,2:20,Little Caesars Arena,
"Mon, Nov 11, 2019",7:30p,Dallas Mavericks,106,Boston Celtics,116,Box Score,,18624.0,2:18,TD Garden,
"Mon, Nov 11, 2019",7:30p,Memphis Grizzlies,113,San Antonio Spurs,109,Box Score,,18627.0,2:16,AT&T Center,
"Mon, Nov 11, 2019",8:00p,Houston Rockets,122,New Orleans Pelicans,116,Box Score,,16695.0,2:20,Smoothie King Center,
"Mon, Nov 11, 2019",10:30p,Utah Jazz,122,Golden State Warriors,108,Box Score,,18064.0,2:15,Chase Center,
"Mon, Nov 11, 2019",10:30p,Toronto Raptors,88,Los Angeles Clippers,98,Box Score,,19068.0,2:18,STAPLES Center,
"Tue, Nov 12, 2019",7:00p,Oklahoma City Thunder,85,Indiana Pacers,111,Box Score,,15838.0,2:02,Bankers Life Fieldhouse,
"Tue, Nov 12, 2019",7:00p,Cleveland Cavaliers,97,Philadelphia 76ers,98,Box Score,,20294.0,2:11,Wells Fargo Center,
"Tue, Nov 12, 2019",7:30p,Detroit Pistons,108,Miami Heat,117,Box Score,,19600.0,2:25,AmericanAirlines Arena,
"Tue, Nov 12, 2019",8:00p,New York Knicks,102,Chicago Bulls,120,Box Score,,18668.0,2:19,United Center,
"Tue, Nov 12, 2019",9:00p,Atlanta Hawks,125,Denver Nuggets,121,Box Score,,18327.0,2:19,Pepsi Center,
"Tue, Nov 12, 2019",9:00p,Los Angeles Lakers,123,Phoenix Suns,115,Box Score,,18055.0,2:16,Talking Stick Resort Arena,
"Tue, Nov 12, 2019",9:00p,Brooklyn Nets,114,Utah Jazz,119,Box Score,,18306.0,2:26,Vivint Smart Home Arena,
"Tue, Nov 12, 2019",10:00p,Portland Trail Blazers,99,Sacramento Kings,107,Box Score,,16358.0,2:16,Golden 1 Center,
"Wed, Nov 13, 2019",7:00p,Memphis Grizzlies,119,Charlotte Hornets,117,Box Score,,13155.0,2:06,Spectrum Center,
"Wed, Nov 13, 2019",7:00p,Philadelphia 76ers,97,Orlando Magic,112,Box Score,,15113.0,2:18,Amway Center,
"Wed, Nov 13, 2019",7:30p,Washington Wizards,133,Boston Celtics,140,Box Score,,19156.0,2:17,TD Garden,
"Wed, Nov 13, 2019",7:30p,Los Angeles Clippers,93,Houston Rockets,102,Box Score,,18055.0,2:28,Toyota Center,
"Wed, Nov 13, 2019",8:00p,San Antonio Spurs,114,Minnesota Timberwolves,129,Box Score,,11581.0,2:16,Target Center,
"Wed, Nov 13, 2019",10:00p,Golden State Warriors,94,Los Angeles Lakers,120,Box Score,,18997.0,2:16,STAPLES Center,
"Wed, Nov 13, 2019",10:00p,Toronto Raptors,114,Portland Trail Blazers,106,Box Score,,19544.0,2:05,Moda Center,
"Thu, Nov 14, 2019",6:00p,Miami Heat,108,Cleveland Cavaliers,97,Box Score,,17374.0,2:08,Rocket Mortgage Fieldhouse,
"Thu, Nov 14, 2019",8:00p,Chicago Bulls,115,Milwaukee Bucks,124,Box Score,,17627.0,2:24,Fiserv Forum,
"Thu, Nov 14, 2019",8:00p,Los Angeles Clippers,127,New Orleans Pelicans,132,Box Score,,17147.0,2:19,Smoothie King Center,
"Thu, Nov 14, 2019",8:00p,Dallas Mavericks,103,New York Knicks,106,Box Score,,19812.0,2:33,Madison Square Garden (IV),
"Thu, Nov 14, 2019",9:00p,Atlanta Hawks,112,Phoenix Suns,128,Box Score,,15143.0,2:19,Talking Stick Resort Arena,
"Thu, Nov 14, 2019",10:30p,Brooklyn Nets,93,Denver Nuggets,101,Box Score,,18394.0,2:16,Pepsi Center,
"Fri, Nov 15, 2019",7:00p,Detroit Pistons,106,Charlotte Hornets,109,Box Score,,16778.0,2:14,Spectrum Center,
"Fri, Nov 15, 2019",7:00p,San Antonio Spurs,109,Orlando Magic,111,Box Score,,16296.0,2:14,Amway Center,
"Fri, Nov 15, 2019",8:00p,Indiana Pacers,102,Houston Rockets,111,Box Score,,18055.0,2:16,Toyota Center,
"Fri, Nov 15, 2019",8:00p,Utah Jazz,106,Memphis Grizzlies,107,Box Score,,16422.0,2:17,FedEx Forum,
"Fri, Nov 15, 2019",8:00p,Washington Wizards,137,Minnesota Timberwolves,116,Box Score,,12716.0,2:19,Target Center,
"Fri, Nov 15, 2019",8:00p,Philadelphia 76ers,119,Oklahoma City Thunder,127,Box Score,OT,18203.0,2:36,Chesapeake Energy Arena,
"Fri, Nov 15, 2019",10:30p,Boston Celtics,105,Golden State Warriors,100,Box Score,,18064.0,2:25,Chase Center,
"Fri, Nov 15, 2019",10:30p,Sacramento Kings,97,Los Angeles Lakers,99,Box Score,,18997.0,2:16,STAPLES Center,
"Sat, Nov 16, 2019",6:00p,Brooklyn Nets,117,Chicago Bulls,111,Box Score,,19148.0,2:25,United Center,
"Sat, Nov 16, 2019",7:00p,Milwaukee Bucks,102,Indiana Pacers,83,Box Score,,17024.0,1:54,Bankers Life Fieldhouse,
"Sat, Nov 16, 2019",7:30p,Charlotte Hornets,103,New York Knicks,102,Box Score,,19401.0,2:13,Madison Square Garden (IV),
"Sat, Nov 16, 2019",8:00p,New Orleans Pelicans,94,Miami Heat,109,Box Score,,19600.0,2:00,AmericanAirlines Arena,
"Sat, Nov 16, 2019",8:00p,Houston Rockets,125,Minnesota Timberwolves,105,Box Score,,18978.0,2:07,Target Center,
"Sat, Nov 16, 2019",8:30p,Toronto Raptors,102,Dallas Mavericks,110,Box Score,,19926.0,2:15,American Airlines Center,
"Sat, Nov 16, 2019",8:30p,Portland Trail Blazers,121,San Antonio Spurs,116,Box Score,,18534.0,2:15,AT&T Center,
"Sat, Nov 16, 2019",10:30p,Atlanta Hawks,101,Los Angeles Clippers,150,Box Score,,19068.0,2:17,STAPLES Center,
"Sun, Nov 17, 2019",3:00p,Philadelphia 76ers,114,Cleveland Cavaliers,95,Box Score,,19432.0,2:17,Rocket Mortgage Fieldhouse,
"Sun, Nov 17, 2019",3:30p,Boston Celtics,99,Sacramento Kings,100,Box Score,,16633.0,2:13,Golden 1 Center,
"Sun, Nov 17, 2019",6:00p,Denver Nuggets,131,Memphis Grizzlies,114,Box Score,,14227.0,2:04,FedEx Forum,
"Sun, Nov 17, 2019",6:00p,Washington Wizards,121,Orlando Magic,125,Box Score,,16344.0,2:05,Amway Center,
"Sun, Nov 17, 2019",7:00p,Golden State Warriors,100,New Orleans Pelicans,108,Box Score,,16812.0,2:11,Smoothie King Center,
"Sun, Nov 17, 2019",9:30p,Atlanta Hawks,101,Los Angeles Lakers,122,Box Score,,18997.0,2:12,STAPLES Center,
"Mon, Nov 18, 2019",7:00p,Cleveland Cavaliers,105,New York Knicks,123,Box Score,,17097.0,2:18,Madison Square Garden (IV),
"Mon, Nov 18, 2019",7:30p,Indiana Pacers,115,Brooklyn Nets,86,Box Score,,14140.0,2:12,Barclays Center,
"Mon, Nov 18, 2019",7:30p,Charlotte Hornets,96,Toronto Raptors,132,Box Score,,19800.0,2:07,Scotiabank Arena,
"Mon, Nov 18, 2019",8:00p,Milwaukee Bucks,115,Chicago Bulls,101,Box Score,,17565.0,2:09,United Center,
"Mon, Nov 18, 2019",8:00p,Portland Trail Blazers,108,Houston Rockets,132,Box Score,,18055.0,2:05,Toyota Center,
"Mon, Nov 18, 2019",8:30p,San Antonio Spurs,110,Dallas Mavericks,117,Box Score,,19637.0,2:07,American Airlines Center,
"Mon, Nov 18, 2019",9:00p,Boston Celtics,99,Phoenix Suns,85,Box Score,,15193.0,2:01,Talking Stick Resort Arena,
"Mon, Nov 18, 2019",9:00p,Minnesota Timberwolves,112,Utah Jazz,102,Box Score,,18306.0,2:18,Vivint Smart Home Arena,
"Mon, Nov 18, 2019",10:30p,Oklahoma City Thunder,88,Los Angeles Clippers,90,Box Score,,19068.0,2:20,STAPLES Center,
"Tue, Nov 19, 2019",8:00p,Golden State Warriors,114,Memphis Grizzlies,95,Box Score,,14511.0,2:15,FedEx Forum,
"Tue, Nov 19, 2019",8:00p,Portland Trail Blazers,104,New Orleans Pelicans,115,Box Score,,15021.0,2:04,Smoothie King Center,
"Tue, Nov 19, 2019",10:00p,Phoenix Suns,116,Sacramento Kings,120,Box Score,,16732.0,2:21,Golden 1 Center,
"Tue, Nov 19, 2019",10:30p,Oklahoma City Thunder,107,Los Angeles Lakers,112,Box Score,,18997.0,2:19,STAPLES Center,
"Wed, Nov 20, 2019",7:00p,New York Knicks,104,Philadelphia 76ers,109,Box Score,,20384.0,2:23,Wells Fargo Center,
"Wed, Nov 20, 2019",7:00p,San Antonio Spurs,132,Washington Wizards,138,Box Score,,14579.0,2:11,Capital One Arena,
"Wed, Nov 20, 2019",7:30p,Milwaukee Bucks,135,Atlanta Hawks,127,Box Score,,16441.0,2:32,State Farm Arena,
"Wed, Nov 20, 2019",7:30p,Charlotte Hornets,91,Brooklyn Nets,101,Box Score,,14011.0,2:13,Barclays Center,
"Wed, Nov 20, 2019",7:30p,Golden State Warriors,94,Dallas Mavericks,142,Box Score,,19569.0,2:13,American Airlines Center,
"Wed, Nov 20, 2019",7:30p,Cleveland Cavaliers,100,Miami Heat,124,Box Score,,19600.0,2:13,AmericanAirlines Arena,
"Wed, Nov 20, 2019",7:30p,Orlando Magic,97,Toronto Raptors,113,Box Score,,19800.0,2:10,Scotiabank Arena,
"Wed, Nov 20, 2019",8:00p,Detroit Pistons,89,Chicago Bulls,109,Box Score,,18119.0,2:15,United Center,
"Wed, Nov 20, 2019",8:00p,Utah Jazz,103,Minnesota Timberwolves,95,Box Score,,13177.0,2:13,Target Center,
"Wed, Nov 20, 2019",9:00p,Houston Rockets,95,Denver Nuggets,105,Box Score,,17778.0,2:11,Pepsi Center,
"Wed, Nov 20, 2019",10:00p,Boston Celtics,104,Los Angeles Clippers,107,Box Score,OT,19068.0,2:43,STAPLES Center,
"Thu, Nov 21, 2019",8:00p,Portland Trail Blazers,129,Milwaukee Bucks,137,Box Score,,17385.0,2:17,Fiserv Forum,
"Thu, Nov 21, 2019",10:30p,New Orleans Pelicans,124,Phoenix Suns,121,Box Score,,13903.0,2:27,Talking Stick Resort Arena,
"Fri, Nov 22, 2019",7:00p,Atlanta Hawks,103,Detroit Pistons,128,Box Score,,15399.0,2:02,Little Caesars Arena,
"Fri, Nov 22, 2019",7:00p,Charlotte Hornets,118,Washington Wizards,125,Box Score,,15053.0,2:03,Capital One Arena,
"Fri, Nov 22, 2019",7:30p,Sacramento Kings,97,Brooklyn Nets,116,Box Score,,15619.0,2:12,Barclays Center,
"Fri, Nov 22, 2019",8:00p,Miami Heat,116,Chicago Bulls,108,Box Score,,18953.0,2:18,United Center,
"Fri, Nov 22, 2019",8:00p,Los Angeles Lakers,130,Oklahoma City Thunder,127,Box Score,,18203.0,2:24,Chesapeake Energy Arena,
"Fri, Nov 22, 2019",8:00p,San Antonio Spurs,104,Philadelphia 76ers,115,Box Score,,20927.0,2:11,Wells Fargo Center,
"Fri, Nov 22, 2019",8:30p,Cleveland Cavaliers,101,Dallas Mavericks,143,Box Score,,19639.0,1:58,American Airlines Center,
"Fri, Nov 22, 2019",9:00p,Boston Celtics,92,Denver Nuggets,96,Box Score,,19520.0,2:23,Pepsi Center,
"Fri, Nov 22, 2019",9:00p,Golden State Warriors,109,Utah Jazz,113,Box Score,,18306.0,2:14,Vivint Smart Home Arena,
"Fri, Nov 22, 2019",10:30p,Houston Rockets,119,Los Angeles Clippers,122,Box Score,,19068.0,2:32,STAPLES Center,
"Sat, Nov 23, 2019",5:00p,Phoenix Suns,100,Minnesota Timberwolves,98,Box Score,,17362.0,2:08,Target Center,
"Sat, Nov 23, 2019",7:00p,Chicago Bulls,116,Charlotte Hornets,115,Box Score,,17891.0,2:15,Spectrum Center,
"Sat, Nov 23, 2019",7:00p,Orlando Magic,106,Indiana Pacers,111,Box Score,,16446.0,2:05,Bankers Life Fieldhouse,
"Sat, Nov 23, 2019",7:30p,Toronto Raptors,119,Atlanta Hawks,116,Box Score,,16931.0,2:13,State Farm Arena,
"Sat, Nov 23, 2019",7:30p,San Antonio Spurs,111,New York Knicks,104,Box Score,,19320.0,2:11,Madison Square Garden (IV),
"Sat, Nov 23, 2019",7:30p,Miami Heat,86,Philadelphia 76ers,113,Box Score,,21017.0,2:08,Wells Fargo Center,
"Sat, Nov 23, 2019",8:00p,Portland Trail Blazers,104,Cleveland Cavaliers,110,Box Score,,19432.0,2:12,Rocket Mortgage Fieldhouse,
"Sat, Nov 23, 2019",8:00p,Los Angeles Lakers,109,Memphis Grizzlies,108,Box Score,,17794.0,,FedEx Forum,
"Sat, Nov 23, 2019",8:30p,Detroit Pistons,90,Milwaukee Bucks,104,Box Score,,17585.0,2:05,Fiserv Forum,
"Sat, Nov 23, 2019",9:00p,New Orleans Pelicans,120,Utah Jazz,128,Box Score,,18306.0,2:16,Vivint Smart Home Arena,
"Sun, Nov 24, 2019",3:30p,Dallas Mavericks,137,Houston Rockets,123,Box Score,,18055.0,2:11,Toyota Center,
"Sun, Nov 24, 2019",6:00p,Brooklyn Nets,103,New York Knicks,101,Box Score,,18770.0,2:23,Madison Square Garden (IV),
"Sun, Nov 24, 2019",6:00p,Sacramento Kings,113,Washington Wizards,106,Box Score,,15885.0,2:08,Capital One Arena,
"Sun, Nov 24, 2019",8:00p,Phoenix Suns,104,Denver Nuggets,116,Box Score,,19520.0,1:59,Pepsi Center,
"Sun, Nov 24, 2019",9:00p,New Orleans Pelicans,109,Los Angeles Clippers,134,Box Score,,19068.0,2:08,STAPLES Center,
"Mon, Nov 25, 2019",7:00p,Brooklyn Nets,108,Cleveland Cavaliers,106,Box Score,,17143.0,2:16,Rocket Mortgage Fieldhouse,
"Mon, Nov 25, 2019",7:00p,Orlando Magic,88,Detroit Pistons,103,Box Score,,14695.0,2:09,Little Caesars Arena,
"Mon, Nov 25, 2019",7:00p,Memphis Grizzlies,114,Indiana Pacers,126,Box Score,,15141.0,1:58,Bankers Life Fieldhouse,
"Mon, Nov 25, 2019",7:30p,Minnesota Timberwolves,125,Atlanta Hawks,113,Box Score,,16218.0,2:21,State Farm Arena,
"Mon, Nov 25, 2019",7:30p,Sacramento Kings,102,Boston Celtics,103,Box Score,,19156.0,2:13,TD Garden,
"Mon, Nov 25, 2019",7:30p,Charlotte Hornets,100,Miami Heat,117,Box Score,,19600.0,2:15,AmericanAirlines Arena,
"Mon, Nov 25, 2019",7:30p,Philadelphia 76ers,96,Toronto Raptors,101,Box Score,,19800.0,2:13,Scotiabank Arena,
"Mon, Nov 25, 2019",8:00p,Portland Trail Blazers,117,Chicago Bulls,94,Box Score,,18776.0,2:06,United Center,
"Mon, Nov 25, 2019",8:00p,Utah Jazz,118,Milwaukee Bucks,122,Box Score,,17385.0,2:14,Fiserv Forum,
"Mon, Nov 25, 2019",8:30p,Los Angeles Lakers,114,San Antonio Spurs,104,Box Score,,18498.0,2:06,AT&T Center,
"Mon, Nov 25, 2019",10:30p,Oklahoma City Thunder,100,Golden State Warriors,97,Box Score,,18064.0,2:04,Chase Center,
"Tue, Nov 26, 2019",8:30p,Los Angeles Clippers,114,Dallas Mavericks,99,Box Score,,20407.0,2:16,American Airlines Center,
"Tue, Nov 26, 2019",9:00p,Washington Wizards,104,Denver Nuggets,117,Box Score,,18673.0,2:07,Pepsi Center,
"Wed, Nov 27, 2019",7:00p,Brooklyn Nets,110,Boston Celtics,121,Box Score,,19156.0,2:14,TD Garden,
"Wed, Nov 27, 2019",7:00p,Detroit Pistons,101,Charlotte Hornets,102,Box Score,,15535.0,2:12,Spectrum Center,
"Wed, Nov 27, 2019",7:00p,Orlando Magic,116,Cleveland Cavaliers,104,Box Score,,17712.0,2:02,Rocket Mortgage Fieldhouse,
"Wed, Nov 27, 2019",7:00p,Utah Jazz,102,Indiana Pacers,121,Box Score,,17027.0,2:09,Bankers Life Fieldhouse,
"Wed, Nov 27, 2019",7:00p,Sacramento Kings,91,Philadelphia 76ers,97,Box Score,,20592.0,2:07,Wells Fargo Center,
"Wed, Nov 27, 2019",7:30p,New York Knicks,98,Toronto Raptors,126,Box Score,,19800.0,2:08,Scotiabank Arena,
"Wed, Nov 27, 2019",8:00p,Miami Heat,108,Houston Rockets,117,Box Score,,18055.0,2:14,Toyota Center,
"Wed, Nov 27, 2019",8:00p,Los Angeles Clippers,121,Memphis Grizzlies,119,Box Score,,16721.0,2:20,FedEx Forum,
"Wed, Nov 27, 2019",8:00p,Atlanta Hawks,102,Milwaukee Bucks,111,Box Score,,17525.0,2:18,Fiserv Forum,
"Wed, Nov 27, 2019",8:30p,Minnesota Timberwolves,113,San Antonio Spurs,101,Box Score,,18354.0,2:09,AT&T Center,
"Wed, Nov 27, 2019",9:00p,Washington Wizards,140,Phoenix Suns,132,Box Score,,14123.0,2:12,Talking Stick Resort Arena,
"Wed, Nov 27, 2019",9:30p,Los Angeles Lakers,114,New Orleans Pelicans,110,Box Score,,18626.0,2:38,Smoothie King Center,
"Wed, Nov 27, 2019",10:00p,Oklahoma City Thunder,119,Portland Trail Blazers,136,Box Score,,19870.0,2:11,Moda Center,
"Wed, Nov 27, 2019",10:30p,Chicago Bulls,90,Golden State Warriors,104,Box Score,,18064.0,2:10,Chase Center,
"Fri, Nov 29, 2019",12:00p,Boston Celtics,107,Brooklyn Nets,112,Box Score,,17732.0,2:12,Barclays Center,
"Fri, Nov 29, 2019",7:00p,Charlotte Hornets,110,Detroit Pistons,107,Box Score,,15006.0,2:07,Little Caesars Arena,
"Fri, Nov 29, 2019",7:00p,Toronto Raptors,90,Orlando Magic,83,Box Score,,17014.0,2:12,Amway Center,
"Fri, Nov 29, 2019",7:30p,Milwaukee Bucks,119,Cleveland Cavaliers,110,Box Score,,19432.0,2:03,Rocket Mortgage Fieldhouse,
